date_time,temperature
2020-04-29 17:25:53.805389,24.375,24.437
2020-04-29 17:26:55.642141,24.437,24.437
2020-04-29 17:27:57.485258,24.437,24.437
2020-04-29 17:28:59.323090,24.5,24.5
2020-04-29 17:30:01.162073,24.5,24.5
2020-04-29 17:31:03.803110,24.5,24.5
2020-04-29 17:32:05.645316,24.5,24.5
2020-04-29 17:33:07.483116,24.5,24.5
2020-04-29 17:34:09.325450,24.5,24.5
2020-04-29 17:35:12.044057,24.5,24.5
2020-04-29 17:36:13.883099,24.5,24.5
2020-04-29 17:37:16.610951,24.562,24.562
2020-04-29 17:38:18.447400,24.562,24.562
2020-04-29 17:39:20.363161,24.562,24.562
2020-04-29 17:40:23.083110,24.562,24.562
2020-04-29 17:41:24.923152,24.562,24.562
2020-04-29 17:42:26.763046,24.562,24.562
2020-04-29 17:43:28.610392,24.625,24.625
2020-04-29 17:44:30.443119,24.625,24.625
2020-04-29 17:45:32.283075,24.625,24.625
2020-04-29 17:46:35.003044,24.625,24.625
2020-04-29 17:47:36.843122,24.625,24.625
2020-04-29 17:48:38.682136,24.625,24.625
2020-04-29 17:49:40.523069,24.625,24.625
2020-04-29 17:50:42.363130,24.625,24.625
2020-04-29 17:51:45.083076,24.562,24.625
2020-04-29 17:52:46.923011,24.562,24.625
2020-04-29 17:53:49.642149,24.562,24.625
2020-04-29 17:54:53.243092,24.562,24.625
2020-04-29 17:55:55.963077,24.562,24.625
2020-04-29 17:56:57.883107,24.562,24.625
2020-04-29 17:57:59.723074,24.562,24.625
2020-04-29 17:59:01.562098,24.562,24.625
2020-04-29 18:00:03.403009,24.5,24.625
2020-04-29 18:01:06.123390,24.562,24.625
2020-04-29 18:02:07.963093,24.5,24.625
2020-04-29 18:03:09.803020,24.5,24.625
2020-04-29 18:04:11.642159,24.5,24.625
2020-04-29 18:05:13.483055,24.562,24.625
2020-04-29 18:06:15.323073,24.562,24.625
2020-04-29 18:07:17.171120,24.562,24.625
2020-04-29 18:08:19.008479,24.562,24.625
2020-04-29 18:09:20.843166,24.562,24.625
2020-04-29 18:10:22.690626,24.562,24.625
2020-04-29 18:11:24.603057,24.562,24.625
2020-04-29 18:12:26.443119,24.562,24.625
2020-04-29 18:13:28.283073,24.562,24.625
2020-04-29 18:14:31.003123,24.562,24.625
2020-04-29 18:15:32.842126,24.562,24.625
2020-04-29 18:16:34.763033,24.562,24.625
2020-04-29 18:17:36.603041,24.5,24.625
2020-04-29 18:18:39.323071,24.562,24.625
2020-04-29 18:19:41.162993,24.5,24.625
2020-04-29 18:20:43.882482,24.5,24.625
2020-04-29 18:21:45.723169,24.5,24.625
2020-04-29 18:22:49.322138,24.562,24.625
2020-04-29 18:23:51.163044,24.562,24.625
2020-04-29 18:24:53.003102,24.562,24.625
2020-04-29 18:25:54.842114,24.562,24.625
2020-04-29 18:26:56.683142,24.562,24.625
2020-04-29 18:27:58.523118,24.562,24.625
2020-04-29 18:29:00.362167,24.562,24.625
2020-04-29 18:30:02.203077,24.562,24.625
2020-04-29 18:31:04.049334,24.562,24.625
2020-04-29 18:32:05.882134,24.562,24.625
2020-04-29 18:33:07.723071,24.562,24.625
2020-04-29 18:34:09.563106,24.562,24.625
2020-04-29 18:35:12.283067,24.562,24.625
2020-04-29 18:36:14.122989,24.562,24.625
2020-04-29 18:37:15.970648,24.562,24.625
2020-04-29 18:38:17.803060,24.562,24.625
2020-04-29 18:39:19.645416,24.562,24.625
2020-04-29 18:40:22.362103,24.562,24.625
2020-04-29 18:41:24.203073,24.562,24.625
2020-04-29 18:42:26.043110,24.562,24.625
2020-04-29 18:43:27.883075,24.562,24.625
2020-04-29 18:44:29.723061,24.562,24.625
2020-04-29 18:45:32.443209,24.562,24.625
2020-04-29 18:46:34.283089,24.562,24.625
2020-04-29 18:47:36.123096,24.562,24.625
2020-04-29 18:48:37.963136,24.562,24.625
2020-04-29 18:49:39.883066,24.562,24.625
2020-04-29 18:50:41.723107,24.562,24.625
2020-04-29 18:51:43.563710,24.562,24.625
2020-04-29 18:52:46.283019,24.562,24.625
2020-04-29 18:53:49.002122,24.562,24.625
2020-04-29 18:54:50.843130,24.562,24.625
2020-04-29 18:55:53.565515,24.625,24.625
2020-04-29 18:56:55.403089,24.625,24.625
2020-04-29 18:57:57.243166,24.625,24.625
2020-04-29 18:58:59.123039,24.625,24.625
2020-04-29 19:00:01.803119,24.625,24.625
2020-04-29 19:01:03.645507,24.562,24.625
2020-04-29 19:02:05.482152,24.562,24.625
2020-04-29 19:03:08.203045,24.562,24.625
2020-04-29 19:04:11.002134,24.562,24.625
2020-04-29 19:05:12.843065,24.562,24.625
2020-04-29 19:06:14.686821,24.5,24.625
2020-04-29 19:07:17.411733,24.5,24.625
2020-04-29 19:08:19.243047,24.5,24.625
2020-04-29 19:09:21.085446,24.5,24.625
2020-04-29 19:10:22.923140,24.5,24.625
2020-04-29 19:11:24.763046,24.5,24.625
2020-04-29 19:12:26.603129,24.5,24.625
2020-04-29 19:13:29.323047,24.562,24.625
2020-04-29 19:14:31.163186,24.5,24.625
2020-04-29 19:15:33.046241,24.5,24.625
2020-04-29 19:16:35.805413,24.5,24.625
2020-04-29 19:17:37.642100,24.5,24.625
2020-04-29 19:18:39.483112,24.5,24.625
2020-04-29 19:19:42.203136,24.5,24.625
2020-04-29 19:20:44.045301,24.5,24.625
2020-04-29 19:21:46.763062,24.5,24.625
2020-04-29 19:22:48.608308,24.5,24.625
2020-04-29 19:23:51.323057,24.5,24.625
2020-04-29 19:24:53.163115,24.5,24.625
2020-04-29 19:25:55.003081,24.5,24.625
2020-04-29 19:26:56.843111,24.5,24.625
2020-04-29 19:27:59.563668,24.5,24.625
2020-04-29 19:29:01.403945,24.437,24.625
2020-04-29 19:30:03.245298,24.437,24.625
2020-04-29 19:31:05.082127,24.437,24.625
2020-04-29 19:32:07.803059,24.437,24.625
2020-04-29 19:33:09.643129,24.437,24.625
2020-04-29 19:34:11.483019,24.437,24.625
2020-04-29 19:35:13.323454,24.437,24.625
2020-04-29 19:36:15.163065,24.437,24.625
2020-04-29 19:37:17.883067,24.437,24.625
2020-04-29 19:38:19.723119,24.437,24.625
2020-04-29 19:39:21.562144,24.5,24.625
2020-04-29 19:40:23.405444,24.5,24.625
2020-04-29 19:41:25.245254,24.5,24.625
2020-04-29 19:42:27.083841,24.5,24.625
2020-04-29 19:43:28.923090,24.5,24.625
2020-04-29 19:44:30.763098,24.5,24.625
2020-04-29 19:45:33.483036,24.5,24.625
2020-04-29 19:46:35.323068,24.5,24.625
2020-04-29 19:47:38.925211,24.5,24.625
2020-04-29 19:48:40.763095,24.5,24.625
2020-04-29 19:49:42.603120,24.437,24.625
2020-04-29 19:50:45.323104,24.5,24.625
2020-04-29 19:51:48.040718,24.437,24.625
2020-04-29 19:52:49.883105,24.437,24.625
2020-04-29 19:53:51.723106,24.437,24.625
2020-04-29 19:54:53.642125,24.437,24.625
2020-04-29 19:55:55.487557,24.437,24.625
2020-04-29 19:56:57.323099,24.437,24.625
2020-04-29 19:57:59.162124,24.437,24.625
2020-04-29 19:59:01.015761,24.437,24.625
2020-04-29 20:00:02.843019,24.375,24.625
2020-04-29 20:01:05.563090,24.375,24.625
2020-04-29 20:02:07.403128,24.375,24.625
2020-04-29 20:03:10.122090,24.375,24.625
2020-04-29 20:04:11.963087,24.375,24.625
2020-04-29 20:05:13.803053,24.375,24.625
2020-04-29 20:06:15.642733,24.312,24.625
2020-04-29 20:07:18.374745,24.312,24.625
2020-04-29 20:08:21.083503,24.375,24.625
